
 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2019-06-12                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
2013-08-16 21:00:00.000 228       -26.00
2013-08-16 22:00:00.000 228       -28.00
2013-08-16 23:00:00.000 228       -29.00
2013-08-17 00:00:00.000 229       -28.00
2013-08-17 01:00:00.000 229       -26.00
2013-08-17 02:00:00.000 229       -26.00
2013-08-17 03:00:00.000 229       -23.00
2013-08-17 04:00:00.000 229       -24.00
2013-08-17 05:00:00.000 229       -22.00
2013-08-17 06:00:00.000 229       -20.00
2013-08-17 07:00:00.000 229       -17.00
2013-08-17 08:00:00.000 229       -16.00
2013-08-17 09:00:00.000 229       -17.00
2013-08-17 10:00:00.000 229       -17.00
2013-08-17 11:00:00.000 229       -19.00
2013-08-17 12:00:00.000 229       -20.00
2013-08-17 13:00:00.000 229       -22.00
2013-08-17 14:00:00.000 229       -24.00
2013-08-17 15:00:00.000 229       -24.00
2013-08-17 16:00:00.000 229       -20.00
2013-08-17 17:00:00.000 229       -19.00
2013-08-17 18:00:00.000 229       -19.00
2013-08-17 19:00:00.000 229       -21.00
2013-08-17 20:00:00.000 229       -21.00
2013-08-17 21:00:00.000 229       -22.00
2013-08-17 22:00:00.000 229       -20.00
2013-08-17 23:00:00.000 229       -16.00
2013-08-18 00:00:00.000 230       -15.00
2013-08-18 01:00:00.000 230       -15.00
2013-08-18 02:00:00.000 230       -14.00
2013-08-18 03:00:00.000 230       -15.00
2013-08-18 04:00:00.000 230       -14.00
2013-08-18 05:00:00.000 230       -11.00
2013-08-18 06:00:00.000 230       -11.00
2013-08-18 07:00:00.000 230       -13.00
2013-08-18 08:00:00.000 230       -14.00
2013-08-18 09:00:00.000 230       -10.00
2013-08-18 10:00:00.000 230        -9.00
2013-08-18 11:00:00.000 230       -10.00
2013-08-18 12:00:00.000 230       -12.00
2013-08-18 13:00:00.000 230       -13.00
2013-08-18 14:00:00.000 230       -13.00
2013-08-18 15:00:00.000 230       -12.00
2013-08-18 16:00:00.000 230       -10.00
2013-08-18 17:00:00.000 230       -16.00
